disaster_id,disaster_location_id,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness,year,event_name,location,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,associated_disaster,associated_disaster2,country_name,country_iso3,start_isodate,end_isodate,no_killed,no_injured,no_affected,no_homeless,total_affected,total_dam_usd,even_split_dam_usd
1981-62,1981-62_1699585,1699585,3,Oriental Mindoro,13.15555,121.26803,ADM2,6295630|6255147|PH|41|1699585,Earth|Asia|Philippines|Mimaropa|Oriental Mindoro,1,1,1981,,Oriental Mindoro,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1981-7-4,1981-7-4 ,0,0,25000,3500,28500,0,0
1981-60,1981-60_1731616,1731616,3,Province of Albay,13.21667,123.55,ADM2,6295630|6255147|PH|05|1731616,Earth|Asia|Philippines|Bicol|Province of Albay,1,1,1981,,Albay province,Natural,Meteorological,Storm,,,,,Philippines,PHL,,,214,32,0,0,32,5269509.19,5269509.19
1982-325,1982-325_1717951,1717951,1,Catanduanes Island,13.7925,124.26278,ISL,6295630|6255147|PH|05|1717952|1717951,Earth|Asia|Philippines|Bicol|Province of Catanduanes|Catanduanes Island,4,1,1982,,Catanduanes (Luzon Isl.),Natural,Geophysical,Earthquake (seismic activity),Earthquake (ground shaking),,,,Philippines,PHL,1982-1-11,1982-1-11 ,0,0,0,0,0,0,0
1982-195,1982-195_1715345,1715345,3,Province of Davao del Sur,6.33333,125.5,ADM2,6295630|6255147|PH|11|1715345,Earth|Asia|Philippines|Davao|Province of Davao del Sur,1,1,1982,,"Davao Del Norte, Sur & Oriental",Natural,Hydrological,Flood,Storm surge/coastal flood,,,,Philippines,PHL,1982-6-23,1982-6-23 ,0,0,818,0,818,157219.72,52406.5733333
1982-195,1982-195_1715342,1715342,3,Province of Davao Oriental,7.16667,126.33333,ADM2,6295630|6255147|PH|11|1715342,Earth|Asia|Philippines|Davao|Province of Davao Oriental,1,1,1982,,"Davao Del Norte, Sur & Oriental",Natural,Hydrological,Flood,Storm surge/coastal flood,,,,Philippines,PHL,1982-6-23,1982-6-23 ,0,0,818,0,818,157219.72,52406.5733333
1982-195,1982-195_1715347,1715347,3,Province of Davao del Norte,7.45099,125.81543,ADM2,6295630|6255147|PH|11|1715347,Earth|Asia|Philippines|Davao|Province of Davao del Norte,1,1,1982,,"Davao Del Norte, Sur & Oriental",Natural,Hydrological,Flood,Storm surge/coastal flood,,,,Philippines,PHL,1982-6-23,1982-6-23 ,0,0,818,0,818,157219.72,52406.5733333
1982-193,1982-193_1685377,1685377,3,Province of Sultan Kudarat,6.55,124.28333,ADM2,6295630|6255147|PH|12|1685377,Earth|Asia|Philippines|Soccsksargen|Province of Sultan Kudarat,1,1,1982,,"Maguindanao, Sultan Kudarat",Natural,Hydrological,Flood,,,,,Philippines,PHL,,,2,232,0,0,232,0,0
1982-193,1982-193_1703701,1703701,3,Province of Maguindanao,7.13333,124.3,ADM2,6295630|6255147|PH|14|1703701,Earth|Asia|Philippines|Autonomous Region in Muslim Mindanao|Province of Maguindanao,1,1,1982,,"Maguindanao, Sultan Kudarat",Natural,Hydrological,Flood,,,,,Philippines,PHL,,,2,232,0,0,232,0,0
1982-180,1982-180_7521295,7521295,4,Northern Mindanao,8.5262,125.22669,ADM1,6295630|6255147|PH|10,Earth|Asia|Philippines|Northern Mindanao,1,1,1982,,Region X,Natural,Hydrological,Flood,Flash flood,,,,Philippines,PHL,1982-1-22,1982-1-22 ,18,0,35,0,35,0,0
1982-176,1982-176_1679788,1679788,2,Visayas,11,123.5,ISLS,6295630|6255147|PH|00,Earth|Asia|Philippines|Visayas,4,2,1982,(Aning),Visayan Sea region,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1982-12-2,1982-12-2 ,0,0,41,44,85,13101.64,13101.64
1982-111,1982-111_1704846,1704846,1,Luzon,16,121,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Luzon,4,1,1982,Nancy (Weling),North Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1982-10-12,1982-10-12 ,96,183,51532,12464,64179,83850514.86,83850514.86
1982-101,1982-101_7521296,7521296,4,Mimaropa,12.87014,121.13403,ADM1,6295630|6255147|PH|41,Earth|Asia|Philippines|Mimaropa,1,1,1982,(Ruping),C./S. Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1982-9-5,1982-9-5 ,65,26,44383,5599,50008,0,0
1982-101,1982-101_7521310,7521310,4,Bicol,13.31389,123.56389,ADM1,6295630|6255147|PH|05,Earth|Asia|Philippines|Bicol,1,1,1982,(Ruping),C./S. Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1982-9-5,1982-9-5 ,65,26,44383,5599,50008,0,0
1982-101,1982-101_7521303,7521303,4,Calabarzon,14.31,121.09,ADM1,6295630|6255147|PH|40,Earth|Asia|Philippines|Calabarzon,1,1,1982,(Ruping),C./S. Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1982-9-5,1982-9-5 ,65,26,44383,5599,50008,0,0
1982-101,1982-101_7521305,7521305,4,Central Luzon,15.30714,120.79762,ADM1,6295630|6255147|PH|03,Earth|Asia|Philippines|Central Luzon,1,1,1982,(Ruping),C./S. Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1982-9-5,1982-9-5 ,65,26,44383,5599,50008,0,0
1982-37,1982-37_1699597,1699597,1,Mindanao,8,125,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Mindanao,4,1,1982,Mamie,S.E./N. Mindanao,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1982-3-22,1982-3-22 ,117,0,16000,0,16000,0,0
1983-9016,1983-9016_1699492,1699492,3,Province of Misamis Oriental,8.75,125,ADM2,6295630|6255147|PH|10|1699492,Earth|Asia|Philippines|Northern Mindanao|Province of Misamis Oriental,1,1,1983,,Misamis Oriental,Natural,Climatological,Drought,Drought,,,,Philippines,PHL,,,0,0,1691060,0,1691060,0,0
1983-255,1983-255_1707667,1707667,3,Province of Lanao del Sur,7.91667,124.33333,ADM2,6295630|6255147|PH|14|1707667,Earth|Asia|Philippines|Autonomous Region in Muslim Mindanao|Province of Lanao del Sur,1,1,1983,,Lanao del Sur,Natural,Hydrological,Flood,,,,,Philippines,PHL,1983-9-23,1983-9-23 ,11,0,1835,0,1835,8955.5,8955.5
1983-254,1983-254_1724395,1724395,3,Province of Bohol,9.83333,124.16667,ADM2,6295630|6255147|PH|07|1724395,Earth|Asia|Philippines|Central Visayas|Province of Bohol,1,1,1983,,Bohol,Natural,Meteorological,Storm,Local storm,Tornado,,,Philippines,PHL,1983-9-16,1983-9-16 ,2,0,100,0,100,0,0
1983-109,1983-109_1711034,1711034,3,Province of Ilocos Norte,18.16667,120.75,ADM2,6295630|6255147|PH|01|1711034,Earth|Asia|Philippines|Ilocos|Province of Ilocos Norte,1,1,1983,,Ilocos Norte,Natural,Geophysical,Earthquake (seismic activity),Earthquake (ground shaking),,Landslide / Mudslide,,Philippines,PHL,1983-8-18,1983-8-18 ,19,176,1725,0,1901,6647969.76,6647969.76
1983-96,1983-96_1704846,1704846,2,Luzon,16,121,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Luzon,4,2,1983,Vera (Bebeng),Southeast Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1983-7-14,1983-7-14 ,115,27,120811,29054,149892,4895675.98,4895675.98
1984-185,1984-185_1685215,1685215,3,Province of Surigao del Norte,9.66667,125.63333,ADM2,6295630|6255147|PH|13|1685215,Earth|Asia|Philippines|Caraga|Province of Surigao del Norte,1,1,1984,Ike (Nitang) and Maring,"Surigao del Norte, Bohol Isl, Mindanao, Negros Occidental, Cebu provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-9-1,1984-9-1 ,1399,2565,1237224,547076,1786865,633937375.16,90562482.1657
1984-185,1984-185_1699597,1699597,1,Mindanao,8,125,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Mindanao,4,1,1984,Ike (Nitang) and Maring,"Surigao del Norte, Bohol Isl, Mindanao, Negros Occidental, Cebu provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-9-1,1984-9-1 ,1399,2565,1237224,547076,1786865,633937375.16,90562482.1657
1984-185,1984-185_7521295,7521295,4,Northern Mindanao,8.5262,125.22669,ADM1,6295630|6255147|PH|10,Earth|Asia|Philippines|Northern Mindanao,1,1,1984,Ike (Nitang) and Maring,"Surigao del Norte, Bohol Isl, Mindanao, Negros Occidental, Cebu provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-9-1,1984-9-1 ,1399,2565,1237224,547076,1786865,633937375.16,90562482.1657
