disaster_id,location_id,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness
1982-173,1982-173_1694008,1694008,8,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,2
1982-111,1982-111_1704846,1704846,1,Luzon,16,121,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Luzon,4,1
1982-101,1982-101_7521296,7521296,4,Mimaropa,12.87014,121.13403,ADM1,6295630|6255147|PH|41,Earth|Asia|Philippines|Mimaropa,1,1
1982-101,1982-101_7521310,7521310,4,Bicol,13.31389,123.56389,ADM1,6295630|6255147|PH|05,Earth|Asia|Philippines|Bicol,1,1
1982-101,1982-101_7521303,7521303,4,Calabarzon,14.31,121.09,ADM1,6295630|6255147|PH|40,Earth|Asia|Philippines|Calabarzon,1,1
1982-101,1982-101_7521305,7521305,4,Central Luzon,15.30714,120.79762,ADM1,6295630|6255147|PH|03,Earth|Asia|Philippines|Central Luzon,1,1
1982-93,1982-93_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1982-38,1982-38_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1982-37,1982-37_1699597,1699597,1,Mindanao,8,125,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Mindanao,4,1
1982-29,1982-29_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1983-9016,1983-9016_1699492,1699492,3,Province of Misamis Oriental,8.75,125,ADM2,6295630|6255147|PH|10|1699492,Earth|Asia|Philippines|Northern Mindanao|Province of Misamis Oriental,1,1
1983-255,1983-255_1707667,1707667,3,Province of Lanao del Sur,7.91667,124.33333,ADM2,6295630|6255147|PH|14|1707667,Earth|Asia|Philippines|Autonomous Region in Muslim Mindanao|Province of Lanao del Sur,1,1
1983-254,1983-254_1724395,1724395,3,Province of Bohol,9.83333,124.16667,ADM2,6295630|6255147|PH|07|1724395,Earth|Asia|Philippines|Central Visayas|Province of Bohol,1,1
1983-220,1983-220_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1983-219,1983-219_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1983-109,1983-109_1711034,1711034,3,Province of Ilocos Norte,18.16667,120.75,ADM2,6295630|6255147|PH|01|1711034,Earth|Asia|Philippines|Ilocos|Province of Ilocos Norte,1,1
1983-96,1983-96_1704846,1704846,2,Luzon,16,121,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Luzon,4,2
1984-186,1984-186_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1984-185,1984-185_1685215,1685215,3,Province of Surigao del Norte,9.66667,125.63333,ADM2,6295630|6255147|PH|13|1685215,Earth|Asia|Philippines|Caraga|Province of Surigao del Norte,1,1
1984-185,1984-185_1699597,1699597,1,Mindanao,8,125,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Mindanao,4,1
1984-185,1984-185_7521295,7521295,4,Northern Mindanao,8.5262,125.22669,ADM1,6295630|6255147|PH|10,Earth|Asia|Philippines|Northern Mindanao,1,1
1984-185,1984-185_1717513,1717513,1,Cebu,10.33333,123.75,ISL,6295630|6255147|PH|07|1717511|1717513,Earth|Asia|Philippines|Central Visayas|Province of Cebu|Cebu,4,1
1984-185,1984-185_1724399,1724399,1,Bohol,9.83333,124.16667,ISL,6295630|6255147|PH|07|1724395|1724399,Earth|Asia|Philippines|Central Visayas|Province of Bohol|Bohol,4,1
1984-185,1984-185_1697808,1697808,3,Province of Negros Occidental,10.41667,123,ADM2,6295630|6255147|PH|06|1697808,Earth|Asia|Philippines|Western Visayas|Province of Negros Occidental,1,1
1984-185,1984-185_1717511,1717511,3,Province of Cebu,9.33333,123.66667,ADM2,6295630|6255147|PH|07|1717511,Earth|Asia|Philippines|Central Visayas|Province of Cebu,1,1
1984-105,1984-105_1713986,1713986,3,Eastern Samar,11.53054,125.47647,ADM2,6295630|6255147|PH|08|1713986,Earth|Asia|Philippines|Eastern Visayas|Eastern Samar,1,1
1984-105,1984-105_1706800,1706800,3,Province of Leyte,10.91667,124.66667,ADM2,6295630|6255147|PH|08|1706800,Earth|Asia|Philippines|Eastern Visayas|Province of Leyte,1,1
1984-105,1984-105_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1984-105,1984-105_1684711,1684711,3,Tacloban City,11.25,125,ADM2,6295630|6255147|PH|08|1684711,Earth|Asia|Philippines|Eastern Visayas|Tacloban City,1,1
1984-105,1984-105_1718641,1718641,3,Province of Capiz,11.4,122.56667,ADM2,6295630|6255147|PH|06|1718641,Earth|Asia|Philippines|Western Visayas|Province of Capiz,1,1
1984-105,1984-105_1711005,1711005,1,Iloilo City,10.69694,122.56444,PPLA,6295630|6255147|PH|06|1711004|1711005,Earth|Asia|Philippines|Western Visayas|Province of Iloilo|Iloilo City,2,1
1984-105,1984-105_1730491,1730491,3,Province of Antique,11.16667,122.08333,ADM2,6295630|6255147|PH|06|1730491,Earth|Asia|Philippines|Western Visayas|Province of Antique,1,1
1984-83,1984-83_1719937,1719937,1,Camalig,13.15,123.6,ADM3,6295630|6255147|PH|05|1731616|1719937,Earth|Asia|Philippines|Bicol|Province of Albay|Camalig,1,1
1984-83,1984-83_1702764,1702764,1,Malilipot,13.3,123.71667,ADM3,6295630|6255147|PH|05|1731616|1702764,Earth|Asia|Philippines|Bicol|Province of Albay|Malilipot,1,1
1984-83,1984-83_1712332,1712332,1,Guinobatan,13.16667,123.56667,ADM3,6295630|6255147|PH|05|1731616|1712332,Earth|Asia|Philippines|Bicol|Province of Albay|Guinobatan,1,1
1984-83,1984-83_1685118,1685118,1,City of Tabaco,13.33333,123.71667,ADM3,6295630|6255147|PH|05|1731616|1685118,Earth|Asia|Philippines|Bicol|Province of Albay|City of Tabaco,1,1
1984-83,1984-83_1706884,1706884,3,Legaspi City,13.13333,123.73333,ADM2,6295630|6255147|PH|05|1706884,Earth|Asia|Philippines|Bicol|Legaspi City,1,1
1984-83,1984-83_1687749,1687749,1,Santo Domingo,13.26667,123.75,ADM3,6295630|6255147|PH|05|1731616|1687749,Earth|Asia|Philippines|Bicol|Province of Albay|Santo Domingo,1,1
1984-83,1984-83_1706474,1706474,1,Ligao,13.21697,123.51924,PPLA3,6295630|6255147|PH|05|1731616|1706476|1706474,Earth|Asia|Philippines|Bicol|Province of Albay|City of Ligao|Ligao,2,1
1984-83,1984-83_1715509,1715509,1,Municipality of Daraga,13.13333,123.68333,ADM3,6295630|6255147|PH|05|1731616|1715509,Earth|Asia|Philippines|Bicol|Province of Albay|Municipality of Daraga,1,1
1984-73,1984-73_7521300,7521300,4,Cordillera,17.0852,121.03322,ADM1,6295630|6255147|PH|15,Earth|Asia|Philippines|Cordillera,1,1
1984-73,1984-73_1695357,1695357,3,Province of Pangasinan,15.91667,120.33333,ADM2,6295630|6255147|PH|01|1695357,Earth|Asia|Philippines|Ilocos|Province of Pangasinan,1,1
1984-73,1984-73_7521297,7521297,4,Cagayan Valley,17.65667,121.73333,ADM1,6295630|6255147|PH|02,Earth|Asia|Philippines|Cagayan Valley,1,1
1984-73,1984-73_7521301,7521301,4,Ilocos,16.97917,120.52083,ADM1,6295630|6255147|PH|01,Earth|Asia|Philippines|Ilocos,1,1
