disaster_id,year,event_name,location,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,associated_disaster,associated_disaster2,country_name,country_iso3,start_isodate,end_isodate,no_killed,no_injured,no_affected,no_homeless,total_affected,total_dam_usd
1983-254,1983,,Bohol,Natural,Meteorological,Storm,Local storm,Tornado,,,Philippines,PHL,1983-9-16,1983-9-16 ,2,0,100,0,100,0
1983-220,1983,Orchid (Warling),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1983-11-17,1983-11-17 ,8,1,18242,611,18854,6716628.63
1983-219,1983,Ellen (Herming),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1983-9-3,1983-9-3 ,3,0,1489,195,1684,1283622.36
1983-109,1983,,Ilocos Norte,Natural,Geophysical,Earthquake (seismic activity),Earthquake (ground shaking),,Landslide / Mudslide,,Philippines,PHL,1983-8-18,1983-8-18 ,19,176,1725,0,1901,6647969.76
1983-96,1983,Vera (Bebeng),Southeast Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1983-7-14,1983-7-14 ,115,27,120811,29054,149892,4895675.98
1984-186,1984,Warren (Reming),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-10-23,1984-10-23 ,63,0,1954,740,2694,555828.8
1984-185,1984,Ike (Nitang) and Maring,"Surigao del Norte, Bohol Isl, Mindanao, Negros Occidental, Cebu provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-9-1,1984-9-1 ,1399,2565,1237224,547076,1786865,633937375.16
1984-105,1984,Agnes (Undang),"Capiz, Ilailo, Aklau, Antique, Leyte, Eastern Samar, Roxas, Tacloban",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-11-3,1984-11-3 ,1079,197,1495738,765965,2261900,282595064.33
1984-83,1984,Mayon,"Daraga, Legaspi, Guinobatan, Camalig, Ligao, Tabaco, Sto. Domingo, Malipilot municipalities (Albay province)",Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1984-9-10,1984-9-10 ,0,0,70000,0,70000,0
1984-73,1984,June (Maring),"Northern Luzon, Pangasinan province",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-8-27,1984-8-27 ,138,103,475899,7745,483747,67284539.13
1985-342,1985,,"Tanjay, Pamplona",Natural,Hydrological,Flood,General flood,,,,Philippines,PHL,1985-1-26,1985-1-26 ,54,0,444,0,444,0
1985-192,1985,Tess (Miling),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1985-9-1,1985-9-1 ,5,7,85,56,148,1828959.88
1985-190,1985,Hal (Kuring) and Irma (Daling),"Luzon, Ilocos Sur, Ilocos Norte, Benguet, Nueva Ecija, Bataan, Zambales, Vigan, Bantay, San Esteban, Laoag, Bagio city, Pampanga",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1985-6-20,1985-6-20 ,100,0,420000,200,420200,55423026.66
1985-171,1985,,Mindanao,Natural,Geophysical,Earthquake (seismic activity),Earthquake (ground shaking),,,,Philippines,PHL,1985-3-18,1985-3-18 ,2,25,150,0,175,0
1985-125,1985,,South Mindanao,Natural,Geophysical,Mass movement dry,Landslide,,,,Philippines,PHL,1985-10-21,1985-10-21 ,300,0,0,0,0,0
1985-124,1985,Dot (Saling),"Aurora, Nueva Ecija, Tarlac, Bur Lacan provinces (Central Luzon)",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1985-10-15,1985-10-15 ,81,24,1183602,0,1183626,172845022.09
1985-117,1985,,Southern,Natural,Hydrological,Flood,,,,,Philippines,PHL,,,25,0,5000,0,5000,0
1986-155,1986,,Davao Oriental,Natural,Hydrological,Flood,,,,,Philippines,PHL,1986-6-28,1986-6-28 ,3,3,612,0,615,165139.41
1986-153,1986,Narge (Aning),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1986-12-20,1986-12-20 ,16,108,22771,3843,26722,11795671.9
1986-152,1986,Georgia (Ruping),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1986-10-17,1986-10-17 ,2,0,259,49,308,106161047.14
1986-151,1986,Ellen (Daling),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1986-10-10,1986-10-10 ,4,0,3082,52,3134,4128485.17
1986-122,1986,Dom (Oyang),"Muntinlupa, Metro Manila, Bulacan",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1986-10-6,1986-10-6 ,22,26,82529,0,82555,3538701.57
1986-104,1986,Wayne (Miding),"Pangasinan, Bataan, Bulacan, Pampanga, Benguet, Abra, Zambales, Metro Manila",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1986-9-2,1986-9-2 ,23,4,482700,0,482704,38778271.39
1986-80,1986,Peggy (Gading),"Ilocos, centra Luzon, Southern Tagalos, Metro Manilla",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1986-7-9,1986-7-9 ,109,16,644608,2689,647313,90561271.05
1987-9030,1987,,,Natural,Climatological,Drought,Drought,,,,Philippines,PHL,,,0,0,1002100,0,1002100,0
1987-240,1987,Phillis (Trining),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1987-12-14,1987-12-14 ,22,35,47591,8754,56380,23525582.52
1987-239,1987,Cart (Ising),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1987-8-13,1987-8-13 ,5,0,13247,89,13336,15499207.3
1987-212,1987,Nina (Sisang),"Region IV, Marinduque, Quezon, Laguna, Batangas, Region V, Sorgoson, Albay, Battan, Cavite, Masbaten Camarines Sur, Leyte, Northern Samar",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1987-11-23,1987-11-23 ,882,927,1818185,0,1819112,154992073.05
1987-197,1987,Lynn (Pedang),"Cagayan, Ilocos Norte, Kalin-Aapayo province",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1987-10-21,1987-10-21 ,100,79,60504,18396,78979,69192889.75
1987-146,1987,Betty (Herming),"Batangas, Laguna, Bicol, Mindoro, Cavite, Luzon",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1987-8-8,1987-8-8 ,85,425,971500,297900,1269825,272896757.19
1988-559,1988,,Davao del Sur,Natural,Hydrological,Mass movement wet,Landslide,,,,Philippines,PHL,1988-5-22,1988-5-22 ,30,0,0,0,0,0
1988-558,1988,,Davao Oriental,Natural,Hydrological,Mass movement wet,Landslide,,,,Philippines,PHL,1988-4-4,1988-4-4 ,24,0,0,0,0,0
